freq,coin,window,horizon,val_RMSE,val_MAE,val_MAPE,test_RMSE,test_MAE,test_MAPE
hourly,ALL_CRYPTO_INR_HOURLY_MERGED,60,1,1028672.9606809049,560559.664160913,584410.3249134505,2160430.9332176372,1227178.2013905065,836190.4325476489
hourly,BINANCE_INR,60,1,336.4825803191343,194.93238263336028,0.5761043614108472,504.26250267137056,344.70282193396093,0.6183666865087465
hourly,BITCOIN_CASH_INR,60,1,449.08556659576004,237.01879045672663,0.8397411948640021,459.38500100189657,299.5110659422067,0.8378329759863703
hourly,BITCOIN_INR,60,1,31443.365784797556,19050.00995174507,0.6437242644359358,240366.88690304034,144044.94603348468,1.7444137793210315
hourly,CHAINLINK_INR,60,1,17.881446891125,11.647101831283926,0.9379738427753627,26.46542386640474,16.616587403499878,1.1258991387889892
hourly,DOGECOIN_INR,60,1,0.3770191245761001,0.19381494569228236,1.0882245247016187,0.3267083135171804,0.2119036344574629,1.0658980233363708
hourly,ETHEREUM_INR,60,1,1318.3612407707697,830.0245300573689,0.5079334497915478,2990.214389036989,1957.1824081202421,0.7602172125354018
hourly,LITECOIN_INR,60,1,69.71287862898805,42.47768904876372,0.6838636607648209,93.76327736708328,56.49217378084936,0.7083006208652077
hourly,POLKADOT_INR,60,1,9.271909469944378,5.870612058886346,0.9745529644569922,8.88527780659408,5.329658712624487,1.1537436979534867
hourly,POLYGON_INR,60,1,0.9640966725464146,0.6115811949843147,0.9797290217618921,0.5600866640845438,0.34053251196855766,1.1838852883786553
hourly,RIPPLE_INR,60,1,0.6061695542523077,0.3023690518808065,0.6040360518113461,2.6857176217746677,1.524768910283049,0.8997084850597421
