~coin,timestamp,price,market_cap,volume
binancecoin,2025-05-23 14:02:12.590,668.655289508611,97470424007.19424,1261634239.9537013
binancecoin,2025-05-23 15:04:00.575,673.7841529596823,98266016869.0331,1028735031.0550116
binancecoin,2025-05-23 16:03:56.579,671.8303061003444,98193863520.37346,1254140197.6922553
binancecoin,2025-05-23 17:03:48.060,668.3355352847386,97497789965.02138,1227558655.9470558
binancecoin,2025-05-23 18:03:54.154,669.8662335028997,97725129402.0063,1228385085.3315976
binancecoin,2025-05-23 19:03:55.315,667.5850983044129,97392631032.03336,1213198954.8158772
binancecoin,2025-05-23 20:01:16.367,666.9192198102284,97312941397.87843,1219502697.6775055
binancecoin,2025-05-23 21:03:24.181,663.2709953627078,96769458482.4425,1216676675.9565015
binancecoin,2025-05-23 22:03:50.811,662.7772293614208,96689714999.53598,1218835562.2391262
binancecoin,2025-05-23 23:03:31.291,661.3969200235999,96524099138.91647,1217443747.6201973
binancecoin,2025-05-24 00:03:37.050,655.3681110510369,95613306965.6267,1217926335.781693
binancecoin,2025-05-24 01:03:32.986,660.3228834187219,96346463026.50574,991558372.9841964
binancecoin,2025-05-24 02:03:34.920,661.6842358957601,96551387614.05077,1245528532.414008
binancecoin,2025-05-24 03:03:55.123,663.4811461949281,96776210692.15446,1202280276.1020205
binancecoin,2025-05-24 04:08:35.919,664.1863036394368,96892680605.48463,1206372074.805665
binancecoin,2025-05-24 05:03:49.277,667.2067803237034,97324612001.00533,1189123222.250205
binancecoin,2025-05-24 06:08:07.454,667.4091218545718,97337194928.39212,1192176879.6905422
binancecoin,2025-05-24 07:03:36.868,667.2846800223639,97330779168.78944,1187112402.9885914
binancecoin,2025-05-24 08:03:46.820,667.9325852681427,97504927580.70251,1169300528.86525
binancecoin,2025-05-24 09:03:19.597,671.1919697994693,97914047038.56451,1147763482.5434716
binancecoin,2025-05-24 10:03:43.140,671.1979366713381,97917022857.03682,1154031083.7799575
binancecoin,2025-05-24 11:08:29.778,675.9590837304635,98614723652.13164,1175131902.7060297
binancecoin,2025-05-24 12:03:56.699,674.8279559367614,98445051135.63684,1132730597.553841
binancecoin,2025-05-24 13:03:39.501,674.5289157973191,98398899845.86034,942490211.6582854
binancecoin,2025-05-24 14:03:41.634,673.58333512623,98267786357.91158,888309117.215449
binancecoin,2025-05-24 15:01:12.461,673.8352912202735,98302710993.46408,836183755.9821384
binancecoin,2025-05-24 16:03:50.867,673.5749417251806,98244522612.30212,811918551.4196156
binancecoin,2025-05-24 17:03:41.908,674.9335079900044,98455087457.49274,775775161.439334
binancecoin,2025-05-24 18:03:41.421,675.9546131278402,98621804360.8697,763889964.3035941
binancecoin,2025-05-24 19:03:41.460,676.2085009517543,98653646251.95972,752351007.2481467
binancecoin,2025-05-24 20:08:25.637,675.9750967877313,98642835416.654,740577159.4738545
binancecoin,2025-05-24 21:03:42.920,674.5428029674115,98407466606.2073,730529131.7111335
binancecoin,2025-05-24 22:04:01.324,671.9925844282285,97988222882.3594,596902449.2768297
binancecoin,2025-05-24 23:03:58.270,669.7231153363665,97709182013.64946,706199190.9644151
binancecoin,2025-05-25 00:04:05.473,668.0766316578905,97473113187.95494,692292614.4092296
binancecoin,2025-05-25 01:03:43.687,665.2328189272246,97083137820.97871,672197894.0906818
