freq,coin,window,horizon,val_RMSE,val_MAE,val_MAPE,test_RMSE,test_MAE,test_MAPE
daily,ALL_CRYPTO_INR_HOURLY_MERGED,60,1,805321.7693210552,380542.2469011718,586738.1258269865,1741233.5111531161,915692.003686565,660578.6822742919
daily,BINANCE_COIN_INR,60,1,2181.89722744391,1427.4701144170751,4.212520355153258,3514.489996054822,2878.500917587858,4.996770914458621
daily,BITCOIN_CASH_INR,60,1,3374.5968802779857,2002.2244071597574,6.635965753753403,2500.3410781602674,1910.1413378401385,5.440876110173979
daily,BITCOIN_INR,60,1,189869.40948679435,134480.69155613516,4.661780982922326,432837.0836974732,318312.9531460494,4.69187779248546
daily,CHAINLINK_COIN_INR,60,1,98.99203652946201,74.27744844863966,6.2218625563042025,149.3746903990608,110.56970084791651,7.502352447736725
daily,DOGECOIN_INR,60,1,2.1619708155912,1.1956978504735722,6.837100701644134,1.588240919945475,1.2180914437427262,6.3646151581899995
daily,ETHEREUM_INR,60,1,7886.0674055671325,5832.061377962257,3.393860753084599,16556.988936187052,12029.138391015453,4.689678448338899
daily,LITECOIN_INR,60,1,453.113485266883,318.02803947516077,5.069779349325012,538.1001858503458,372.3212624086279,4.729344621749443
daily,POLKADOT_INR,60,1,49.31281315634221,36.24731193789904,6.125247628801565,56.70856549226112,38.41424209200083,7.9885979303270975
daily,POLYGON_INR,60,1,4.73991545179318,3.4839783203547796,6.097290637542746,3.1533746388130193,2.2791508566738687,7.974506283789587
daily,RIPPLE_INR,60,1,3.547871753874154,2.229564214407644,4.3647571562240595,29.134074357913345,21.293387829658208,11.122672059274674
