UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,DATE,Cryptocurrency
DAY,1280620800,267,cadli,BTC-USD,5.9321255,5.9321255,5.2458,5.341973,2010-01-08,Btc
DAY,1283299200,267,cadli,BTC-USD,5.2458,5.499347,5.211702300000001,5.499347,2010-01-09,Btc
DAY,1285891200,267,cadli,BTC-USD,5.411917,5.420660000000001,5.4110427,5.4180371,2010-01-10,Btc
DAY,1288569600,267,cadli,BTC-USD,16.830275,17.057593,15.294655756979235,17.040263125000028,2010-01-11,Btc
DAY,1291161600,267,cadli,BTC-USD,18.202926,19.925297,18.202926,19.890325,2010-01-12,Btc
DAY,1280707200,267,cadli,BTC-USD,5.341973,5.534319,5.2550396024,5.2550396024,2010-02-08,Btc
DAY,1283385600,267,cadli,BTC-USD,5.499347,5.543062,5.254543000000001,5.543062,2010-02-09,Btc
DAY,1285977600,267,cadli,BTC-USD,5.4180371,5.4180371,5.355087500000001,5.368202000000001,2010-02-10,Btc
DAY,1288656000,267,cadli,BTC-USD,17.040263125000028,17.040263125000028,16.655415,16.943934000000002,2010-02-11,Btc
DAY,1291248000,267,cadli,BTC-USD,19.890325,22.29465,19.05974,22.29465,2010-02-12,Btc
DAY,1280793600,267,cadli,BTC-USD,5.2550396024,5.682950000000001,5.158370000000001,5.2458,2010-03-08,Btc
DAY,1283472000,267,cadli,BTC-USD,5.543062,5.543062,5.320115500000001,5.320115500000001,2010-03-09,Btc
DAY,1286064000,267,cadli,BTC-USD,5.368202000000001,5.368202000000001,5.33347331769,5.3428473,2010-03-10,Btc
DAY,1288742400,267,cadli,BTC-USD,16.943934000000002,23.60646054683425,11.365900000000002,16.882733,2010-03-11,Btc
DAY,1291334400,267,cadli,BTC-USD,22.29465,22.312136,21.24549,21.9493015,2010-03-12,Btc
DAY,1280880000,267,cadli,BTC-USD,5.2458,5.4468890000000005,5.008208444856611,5.008208444856611,2010-04-08,Btc
DAY,1283558400,267,cadli,BTC-USD,5.320115500000001,5.4538834000000005,5.320115500000001,5.4538834000000005,2010-04-09,Btc
DAY,1286150400,267,cadli,BTC-USD,5.3428473,5.420660000000001,5.3192412,5.359444022327934,2010-04-10,Btc
DAY,1288828800,267,cadli,BTC-USD,16.882733,20.6343543,16.882733,20.1089,2010-04-11,Btc
DAY,1291420800,267,cadli,BTC-USD,21.9493015,22.6277583,17.92315,17.936338048733305,2010-04-12,Btc
DAY,1280966400,267,cadli,BTC-USD,5.008208444856611,5.33323,5.008208444856611,5.33323,2010-05-08,Btc
DAY,1283644800,267,cadli,BTC-USD,5.4538834000000005,5.533332746623652,5.289515000000001,5.389163342500001,2010-05-09,Btc
DAY,1286236800,267,cadli,BTC-USD,5.359444022327934,5.50809,5.328660687732875,5.368202000000001,2010-05-10,Btc
DAY,1288915200,267,cadli,BTC-USD,20.1089,22.765897700000004,18.369043,22.765897700000004,2010-05-11,Btc
DAY,1291507200,267,cadli,BTC-USD,17.936338048733305,20.5113038499752,16.611700000000003,17.44436666666671,2010-05-12,Btc
DAY,1281052800,267,cadli,BTC-USD,5.33323,5.4556320000000005,5.3070010000000005,5.4468890000000005,2010-06-08,Btc
DAY,1283731200,267,cadli,BTC-USD,5.389163342500001,5.481861000000001,5.385688000000001,5.385688000000001,2010-06-09,Btc
DAY,1286323200,267,cadli,BTC-USD,5.368202000000001,5.551719150098548,5.368202000000001,5.491478300000001,2010-06-10,Btc
DAY,1289001600,267,cadli,BTC-USD,22.765897700000004,43.715,21.0103033,34.0977,2010-06-11,Btc
DAY,1291593600,267,cadli,BTC-USD,17.44436666666671,19.671750000000003,16.095863,17.835720000000002,2010-06-12,Btc
DAY,1281139200,267,cadli,BTC-USD,5.4468890000000005,5.4468890000000005,5.158370000000001,5.158370000000001,2010-07-08,Btc
DAY,1283817600,267,cadli,BTC-USD,5.385688000000001,5.4215343,5.272029000000001,5.333482577817887,2010-07-09,Btc
DAY,1286409600,267,cadli,BTC-USD,5.491478300000001,5.857810000000001,5.491478300000001,5.857810000000001,2010-07-10,Btc
DAY,1289088000,267,cadli,BTC-USD,34.0977,41.0912257,25.00498,29.72620000000001,2010-07-11,Btc
DAY,1291680000,267,cadli,BTC-USD,17.835720000000002,21.60665885643317,14.871843000000002,20.378208122673307,2010-07-12,Btc
DAY,1281225600,267,cadli,BTC-USD,5.158370000000001,5.33323,5.158370000000001,5.324487,2010-08-08,Btc
DAY,1283904000,267,cadli,BTC-USD,5.333482577817887,5.356525024416243,5.33323,5.356525024416243,2010-08-09,Btc
DAY,1289174400,267,cadli,BTC-USD,29.72620000000001,32.17083777325328,21.19640054768858,21.24549,2010-08-11,Btc
DAY,1291766400,267,cadli,BTC-USD,20.378208122673307,20.9832,19.2346,20.878284000000004,2010-08-12,Btc
DAY,1281312000,267,cadli,BTC-USD,5.324487,6.426105,5.2044798169875,6.181301,2010-09-08,Btc
DAY,1283990400,267,cadli,BTC-USD,5.356525024416243,5.4556320000000005,5.3410987,5.3428473,2010-09-09,Btc
DAY,1286582400,267,cadli,BTC-USD,7.306023677057431,10.492175117848964,6.120233706256212,8.200934,2010-09-10,Btc
DAY,1289260800,267,cadli,BTC-USD,21.24549,28.237498671351386,17.486,18.85747241463768,2010-09-11,Btc
DAY,1291852800,267,cadli,BTC-USD,20.878284000000004,20.878284000000004,14.871843000000002,17.486,2010-09-12,Btc
DAY,1281398400,267,cadli,BTC-USD,6.181301,6.198787000000001,5.8149693000000005,6.120100000000001,2010-10-08,Btc
DAY,1284076800,267,cadli,BTC-USD,5.3428473,5.403174000000001,5.2580402,5.403174000000001,2010-10-09,Btc
DAY,1286668800,267,cadli,BTC-USD,8.200934,11.374643,6.993525700000001,8.436995000000001,2010-10-10,Btc
DAY,1289347200,267,cadli,BTC-USD,18.85747241463768,20.652394963440816,12.27994090909087,20.34219201995009,2010-10-11,Btc
DAY,1291939200,267,cadli,BTC-USD,17.486,17.835720000000002,15.956849300000002,17.834908276099654,2010-10-12,Btc
DAY,1281484800,267,cadli,BTC-USD,6.120100000000001,6.593096300000001,5.2458,5.857810000000001,2010-11-08,Btc
DAY,1284163200,267,cadli,BTC-USD,5.403174000000001,5.638215294148546,5.403174000000001,5.5657938,2010-11-09,Btc
DAY,1286755200,267,cadli,BTC-USD,8.436995000000001,8.781177754774992,7.956130000000001,8.305850000000001,2010-11-10,Btc
DAY,1289433600,267,cadli,BTC-USD,20.34219201995009,20.9832,18.365157222222265,19.505633,2010-11-11,Btc
DAY,1292025600,267,cadli,BTC-USD,17.834908276099654,19.923882032532557,16.672901000000003,19.923882032532557,2010-11-12,Btc
DAY,1281571200,267,cadli,BTC-USD,5.857810000000001,6.120100000000001,5.369076300000001,6.120100000000001,2010-12-08,Btc
DAY,1284249600,267,cadli,BTC-USD,5.5657938,5.5657938,5.376945,5.376945,2010-12-09,Btc
DAY,1286841600,267,cadli,BTC-USD,8.305850000000001,8.603112000000001,7.25712715,8.297107,2010-12-10,Btc
DAY,1289520000,267,cadli,BTC-USD,19.505633,24.45712700700088,19.4981338374667,23.448726,2010-12-11,Btc
DAY,1292112000,267,cadli,BTC-USD,19.923882032532557,19.925297,18.0770268,19.21784256024951,2010-12-12,Btc
DAY,1293840000,267,cadli,BTC-USD,26.229000000000003,26.229000000000003,25.52956,26.229000000000003,2011-01-01,Btc
DAY,1296518400,267,cadli,BTC-USD,46.3023844185467,73.808406,46.21102307062728,61.59987707160701,2011-01-02,Btc
DAY,1298937600,267,cadli,BTC-USD,75.37046425437389,84.79835700000001,74.332986,80.45419594466665,2011-01-03,Btc
DAY,1301616000,267,cadli,BTC-USD,68.5984523,69.6790871,67.68043730000001,67.68043730000001,2011-01-04,Btc
DAY,1304208000,267,cadli,BTC-USD,306.2428160029343,338.3541,219.2321024648766,265.18480730000005,2011-01-05,Btc
DAY,1306886400,267,cadli,BTC-USD,764.22563,847.1967000000001,736.5830710371021,836.7051000000001,2011-01-06,Btc
DAY,1309478400,267,cadli,BTC-USD,1407.723380002265,1463.3542558210836,1334.6480770835208,1344.2341512365726,2011-01-07,Btc
DAY,1312156800,267,cadli,BTC-USD,1168.9106478685517,1184.6765000000005,1124.7127511962046,1145.003907945987,2011-01-08,Btc
DAY,1314835200,267,cadli,BTC-USD,717.2454779312892,730.908730460067,708.5076820822138,718.6692659343626,2011-01-09,Btc
DAY,1317427200,267,cadli,BTC-USD,449.4453131391175,458.6090736395834,426.7456903157452,439.98383475673296,2011-01-10,Btc
DAY,1320105600,267,cadli,BTC-USD,283.97155599897366,292.56618662043496,268.3420418072205,275.44933641235224,2011-01-11,Btc
DAY,1322697600,267,cadli,BTC-USD,259.6752787757863,274.5395529150557,259.1368536593534,267.54242132624665,2011-01-12,Btc
DAY,1293926400,267,cadli,BTC-USD,26.229000000000003,26.229000000000003,25.63649176576354,26.226377100000004,2011-02-01,Btc
DAY,1296604800,267,cadli,BTC-USD,61.59987707160701,66.4476743,60.3267,62.59988,2011-02-02,Btc
DAY,1299024000,267,cadli,BTC-USD,80.45419594466665,82.1842,79.57878600000001,82.17545700000001,2011-02-03,Btc
DAY,1301702400,267,cadli,BTC-USD,67.68043730000001,69.84899837958272,67.68043730000001,68.3693857,2011-02-04,Btc
DAY,1304294400,267,cadli,BTC-USD,265.18480730000005,305.56785,264.8370132486128,279.776,2011-02-05,Btc
DAY,1306972800,267,cadli,BTC-USD,836.7051000000001,949.2704085810644,830.6977846999999,926.7590082892378,2011-02-06,Btc
DAY,1309564800,267,cadli,BTC-USD,1344.2341512365726,1381.3940000000002,1336.6761997683852,1346.422,2011-02-07,Btc
DAY,1312243200,267,cadli,BTC-USD,1145.003907945987,1145.333,1008.5971792798176,1053.5315,2011-02-08,Btc
DAY,1314921600,267,cadli,BTC-USD,718.6692659343626,759.930770477122,718.6692659343626,755.2781420527299,2011-02-09,Btc
DAY,1317513600,267,cadli,BTC-USD,439.98383475673296,445.7042948803829,429.83857002654594,439.5115621182807,2011-02-10,Btc
DAY,1320192000,267,cadli,BTC-USD,275.44933641235224,297.09705520427565,275.44933641235224,284.5310421286381,2011-02-11,Btc
DAY,1322784000,267,cadli,BTC-USD,267.54242132624665,274.2890421801963,266.2327523004224,272.1259377873343,2011-02-12,Btc
DAY,1294012800,267,cadli,BTC-USD,26.226377100000004,26.226377100000004,25.3547,25.79185,2011-03-01,Btc
DAY,1296691200,267,cadli,BTC-USD,62.59988,65.50486576417109,57.46409627762227,60.601731138928,2011-03-02,Btc
DAY,1299110400,267,cadli,BTC-USD,82.17545700000001,82.17545700000001,79.5613,82.10463870000001,2011-03-03,Btc
DAY,1301788800,267,cadli,BTC-USD,68.3693857,69.25407874254549,67.93311000000001,68.10797000000001,2011-03-04,Btc
DAY,1304380800,267,cadli,BTC-USD,279.776,305.1303919133337,271.9073,297.4817368495919,2011-03-05,Btc
DAY,1307059200,267,cadli,BTC-USD,926.7590082892378,1267.525168,926.023588,1249.3747,2011-03-06,Btc
DAY,1309651200,267,cadli,BTC-USD,1346.422,1368.8538671125496,1339.8686885734985,1349.9625003203232,2011-03-07,Btc
DAY,1312329600,267,cadli,BTC-USD,1053.5315,1053.5315,766.7059276846521,809.6085438922995,2011-03-08,Btc
DAY,1315008000,267,cadli,BTC-USD,755.2781420527299,758.8412346161224,731.1831760800508,741.3364207138344,2011-03-09,Btc
DAY,1317600000,267,cadli,BTC-USD,439.5115621182807,439.7867586980172,427.6115170392484,439.2488691548157,2011-03-10,Btc
DAY,1320278400,267,cadli,BTC-USD,284.5310421286381,286.85614175035505,271.4745542472658,275.65097749429106,2011-03-11,Btc
DAY,1322870400,267,cadli,BTC-USD,272.1259377873343,272.98723500399905,240.50920881110457,244.27934661949743,2011-03-12,Btc
DAY,1294099200,267,cadli,BTC-USD,25.79185,26.217634100000005,25.26727,26.1371985,2011-04-01,Btc
DAY,1296777600,267,cadli,BTC-USD,60.601731138928,74.32424300000001,58.578100000000006,70.90573,2011-04-02,Btc
DAY,1299196800,267,cadli,BTC-USD,82.10463870000001,82.10463870000001,78.78450193600001,78.78450193600001,2011-04-03,Btc
DAY,1301875200,267,cadli,BTC-USD,68.10797000000001,68.10797000000001,49.5992452182267,59.45240000000001,2011-04-04,Btc
DAY,1304467200,267,cadli,BTC-USD,297.4817368495919,312.1172313,284.14750000000004,297.79444870000003,2011-04-05,Btc
DAY,1307145600,267,cadli,BTC-USD,1249.3747,1644.1961524153292,1227.5389487562184,1644.1961524153292,2011-04-06,Btc
DAY,1309737600,267,cadli,BTC-USD,1349.9625003203232,1353.7805581902,1151.489067291763,1209.1808333295503,2011-04-07,Btc
DAY,1312416000,267,cadli,BTC-USD,809.6085438922995,974.8418771,809.6085438922995,939.8725,2011-04-08,Btc
DAY,1315094400,267,cadli,BTC-USD,741.3364207138344,741.5005018834275,691.5565428800625,715.1305130955807,2011-04-09,Btc
DAY,1317686400,267,cadli,BTC-USD,439.2488691548157,439.335429617064,430.156381294331,433.65328838422136,2011-04-10,Btc
DAY,1320364800,267,cadli,BTC-USD,275.65097749429106,280.7856307918972,263.45236058288594,271.8544712241142,2011-04-11,Btc
DAY,1322956800,267,cadli,BTC-USD,244.27934661949743,251.5675158006908,228.32061735561467,247.260352316294,2011-04-12,Btc
DAY,1294185600,267,cadli,BTC-USD,26.1371985,26.13815404324101,25.358197200000003,26.1373195205942,2011-05-01,Btc
DAY,1296864000,267,cadli,BTC-USD,70.90573,80.147081,70.90573,79.82595263372403,2011-05-02,Btc
DAY,1299283200,267,cadli,BTC-USD,78.78450193600001,80.33942700000001,72.77673153063895,79.587529,2011-05-03,Btc
DAY,1301961600,267,cadli,BTC-USD,59.45240000000001,65.38283935780626,50.7094,62.0753,2011-05-04,Btc
DAY,1304553600,267,cadli,BTC-USD,297.79444870000003,301.61601400000006,291.40419,291.40419,2011-05-05,Btc
DAY,1307232000,267,cadli,BTC-USD,1644.1961524153292,1660.339579046282,1416.3780216250002,1452.0496129285516,2011-05-06,Btc
DAY,1309824000,267,cadli,BTC-USD,1209.1808333295503,1242.3710527758549,964.0025306900014,1128.4511413,2011-05-07,Btc
DAY,1312502400,267,cadli,BTC-USD,939.8725,958.8217022304976,831.37125514269,852.1620109513658,2011-05-08,Btc
DAY,1315180800,267,cadli,BTC-USD,715.1305130955807,715.3019750613462,636.2999131511153,668.8064402451704,2011-05-09,Btc
DAY,1317772800,267,cadli,BTC-USD,433.65328838422136,436.8630839432034,423.04856361088383,425.8241605912803,2011-05-10,Btc
DAY,1320451200,267,cadli,BTC-USD,271.8544712241142,275.26592416384415,249.96613725988576,259.72539876386384,2011-05-11,Btc
DAY,1323043200,267,cadli,BTC-USD,247.260352316294,256.144937060448,243.20120841264105,251.78111680659296,2011-05-12,Btc
DAY,1294272000,267,cadli,BTC-USD,26.1373195205942,26.14145536647541,25.3547,26.05414,2011-06-01,Btc
DAY,1296950400,267,cadli,BTC-USD,79.82595263372403,80.43560000000001,73.4665547,78.54139797821392,2011-06-02,Btc
DAY,1299369600,267,cadli,BTC-USD,79.587529,79.587529,70.827043,77.89336999623305,2011-06-03,Btc
DAY,1302048000,267,cadli,BTC-USD,62.0753,65.5725,60.35292900000001,64.6982,2011-06-04,Btc
DAY,1304640000,267,cadli,BTC-USD,291.40419,315.62273715000003,287.6447,301.68590901960783,2011-06-05,Btc
