coin,timestamp,price,market_cap,volume
dogecoin,2025-05-23 13:03:55.495,0.2327529332415888,34744898258.425896,3124270683.319657
dogecoin,2025-05-23 14:03:30.499,0.23485534676648914,35046680305.32494,3427419782.37156
dogecoin,2025-05-23 15:00:53.275,0.2378928175533008,35496411873.46159,3612755123.8151426
dogecoin,2025-05-23 16:03:37.436,0.23721630928733217,35379119207.0156,3601838144.3156867
dogecoin,2025-05-23 17:05:27.413,0.23424639530064914,34927827772.289665,3564617548.3779545
dogecoin,2025-05-23 18:03:59.213,0.23554647488682923,35137813033.99058,3419069322.5964746
dogecoin,2025-05-23 19:03:41.282,0.23501934909397962,35109063835.15149,3648965548.088526
dogecoin,2025-05-23 20:03:17.137,0.23370903628197393,34905838547.68589,3385393310.557095
dogecoin,2025-05-23 21:03:48.408,0.23107242261124017,34527706118.37701,3366588234.0086174
dogecoin,2025-05-23 22:02:45.266,0.231164859498968,34580597151.03463,3450162002.8021226
dogecoin,2025-05-23 23:03:39.783,0.22911635144951614,34287492913.82082,3423125844.9486203
dogecoin,2025-05-24 00:03:48.361,0.2256050681389216,33699141296.707493,3637150461.689047
dogecoin,2025-05-24 01:03:54.751,0.2271915243931931,33939368339.8121,3327755411.97688
dogecoin,2025-05-24 02:02:26.838,0.22736421322831588,33975527427.660824,3284846103.065857
dogecoin,2025-05-24 03:03:24.157,0.2280171069809601,34062688200.841244,3137588304.3842487
dogecoin,2025-05-24 04:08:37.999,0.22910793037285757,34241919619.934513,2987497321.1885934
dogecoin,2025-05-24 05:04:06.122,0.22987148210977243,34341308327.673428,2903173274.4718876
dogecoin,2025-05-24 06:02:34.671,0.22821200360963056,34091823156.587154,2817647507.1152673
dogecoin,2025-05-24 07:03:50.215,0.22733745987057272,33959835312.681343,2738707524.1539755
dogecoin,2025-05-24 08:04:23.342,0.22734673815892742,33967992898.67271,2675112261.3870273
dogecoin,2025-05-24 09:08:19.371,0.22780427312834597,34019827877.23085,2653113864.5442615
dogecoin,2025-05-24 10:03:43.282,0.22811887475740172,34079433275.824936,2604592269.855784
dogecoin,2025-05-24 11:08:29.696,0.22994232273721563,34340031041.621666,2574026003.1978717
dogecoin,2025-05-24 12:03:35.246,0.2295722699776451,34297304950.387447,2491802876.3959084
dogecoin,2025-05-24 13:03:36.192,0.22840974134242617,34121963217.805786,2045130073.8679113
dogecoin,2025-05-24 14:00:04.031,0.22802751465083415,34064254295.52358,1887694809.9983354
dogecoin,2025-05-24 15:03:36.071,0.22836158356055963,34104994894.485794,1758053494.6152146
dogecoin,2025-05-24 16:03:45.190,0.22764176538506004,34001934855.919548,1724233517.4326642
dogecoin,2025-05-24 17:03:49.049,0.22757541062296996,33994459094.230175,1589615649.2960389
dogecoin,2025-05-24 18:03:46.920,0.22798433389210856,34057858499.8075,1523760203.9704216
dogecoin,2025-05-24 19:03:32.627,0.22768033244453276,34004886901.383957,1586015471.6734052
dogecoin,2025-05-24 20:08:10.966,0.22709547260105212,33926103571.036705,1418600577.3775656
dogecoin,2025-05-24 21:03:50.589,0.22757140306891085,34001379050.806915,1399653632.4148488
dogecoin,2025-05-24 22:02:15.102,0.22650932052344744,33852047576.137596,1346396761.8008914
dogecoin,2025-05-24 23:03:33.843,0.22567588640431258,33713049035.498383,1320725937.9824004
dogecoin,2025-05-25 00:03:55.190,0.22525836809133487,33650245036.42185,1251407061.4822457
dogecoin,2025-05-25 01:03:18.586,0.22310050366770534,33379317197.34237,1288314057.733301
dogecoin,2025-05-25 02:03:43.810,0.2221603011339502,33183793226.07624,1252608862.4014719
dogecoin,2025-05-25 03:00:42.489,0.2224689140258739,33231581471.590084,1260054196.814671
dogecoin,2025-05-25 04:03:47.107,0.2239175365520546,33450278656.135338,1232024231.2235239
dogecoin,2025-05-25 05:03:40.753,0.2237123917498767,33418712936.57143,1259429239.4817977
dogecoin,2025-05-25 06:03:39.591,0.22361524331688412,33403316497.14287,1239506895.2106993
dogecoin,2025-05-25 07:03:53.818,0.22303118739723918,33317949655.807987,1215955644.7850382
dogecoin,2025-05-25 08:03:35.251,0.22129784685145099,33058498199.871716,1280267997.9093347
dogecoin,2025-05-25 09:03:43.074,0.21888944351067816,32699910928.677055,1348546061.2681427
dogecoin,2025-05-25 10:02:01.172,0.21828047141408438,32595263836.392605,1390721832.470111
dogecoin,2025-05-25 11:04:05.844,0.21901995521699122,32727749662.335777,1407006965.9571483
dogecoin,2025-05-25 12:03:33.246,0.21906995134254603,32721500978.888405,1393106116.7465713
dogecoin,2025-05-25 13:03:58.355,0.2202853620960993,32955850845.4064,1152766805.5956633
dogecoin,2025-05-25 14:08:16.487,0.2207253488808394,32988052061.487823,1408077476.8728254
dogecoin,2025-05-25 15:04:03.921,0.21865216231110637,32670619402.6841,1420365319.679642
dogecoin,2025-05-25 16:04:57.812,0.21842137993211938,32620081884.805553,1444786984.3166585
dogecoin,2025-05-25 17:03:36.960,0.21866731872334197,32661738847.128452,1478164263.5506122
dogecoin,2025-05-25 18:02:15.311,0.21905498924952616,32724172383.969173,1483667114.250017
dogecoin,2025-05-25 19:03:43.052,0.21953346212235206,32796280554.601833,1480325680.854402
dogecoin,2025-05-25 20:03:13.433,0.220354861076542,32913263862.922882,1494985164.518376
dogecoin,2025-05-25 21:03:43.021,0.21975330575697177,32826277218.75104,1496998409.5517015
dogecoin,2025-05-25 22:06:46.990,0.21958227734735614,32787752961.209095,1493032627.3871517
dogecoin,2025-05-25 23:03:45.548,0.22339061146734093,33357947577.299618,1537554552.655858
