coin,timestamp,price,market_cap,volume
tether,2025-05-23 14:03:30.908,1.0001150913577197,152504259591.49048,83661881497.83987
tether,2025-05-23 15:01:07.424,1.0001094435427396,152505409534.82666,93136751995.23122
tether,2025-05-23 16:03:59.377,1.0001680030350584,152515520742.23663,81947404690.18924
tether,2025-05-23 17:08:21.554,1.000089056738531,152502682833.94183,79428719593.2718
tether,2025-05-23 18:03:51.712,1.0001485651854063,152511466662.29202,88234186044.06352
tether,2025-05-23 19:03:51.363,1.0001568915219317,152513054734.14465,92404049921.499
tether,2025-05-23 20:03:24.972,1.0001127877579694,152504954032.69775,81741592600.83107
tether,2025-05-23 21:03:25.677,1.0000783305725134,152501100589.94385,94055308601.1275
tether,2025-05-23 22:03:25.585,1.0001045754088478,152505086740.67825,92782145532.83568
tether,2025-05-23 23:03:30.702,1.0001354393271022,152508736913.20813,95548975408.2903
tether,2025-05-24 00:02:32.847,1.000092076028757,152504474726.0133,96504410502.0485
tether,2025-05-24 01:03:31.382,1.0000836511857631,152500986105.41092,95345508731.64235
tether,2025-05-24 02:03:34.456,1.0001095124050197,152505807695.38504,93745935673.03302
tether,2025-05-24 03:03:43.587,1.0000857393847675,152715175645.21582,91048368584.91959
tether,2025-05-24 04:08:36.340,1.0001239798824813,152721133563.712,81052954216.42693
tether,2025-05-24 05:04:05.499,1.000130558982086,152722034330.45596,79095884390.81462
tether,2025-05-24 06:06:13.241,1.0001718564719955,152729327888.31833,85153760290.00514
tether,2025-05-24 07:03:26.615,1.0000889586821833,152715795908.812,77121087855.50705
tether,2025-05-24 08:01:02.864,1.000144395814816,152724276036.66617,83332011826.26633
tether,2025-05-24 09:03:21.039,1.0001263758408565,152721538000.44678,80821809028.44518
tether,2025-05-24 10:03:51.152,1.0001845856021903,152730423658.01025,40978321114.80657
tether,2025-05-24 11:08:27.415,1.0001394394555039,152723433417.8129,72705092942.24423
tether,2025-05-24 12:03:50.683,1.0001554927647527,152725881048.15982,79591950486.05847
tether,2025-05-24 13:03:46.180,1.0001933710227986,152731497463.8081,68507633887.033104
tether,2025-05-24 14:03:36.745,1.0002185560599515,152735614124.941,30769384639.676376
tether,2025-05-24 15:03:28.441,1.0002013973440642,152732991616.33267,44231840682.79658
tether,2025-05-24 16:04:00.827,1.0002449411579974,152739959472.00912,55640164205.30845
tether,2025-05-24 17:03:48.279,1.0002429550860241,152739889769.46808,51859782376.853676
tether,2025-05-24 18:03:44.722,1.0002211843685078,152736015137.0385,46740448444.90605
tether,2025-05-24 19:03:33.158,1.0002085167650392,152735147022.31284,48983144886.816605
tether,2025-05-24 20:08:21.243,1.0002048465004534,152733520645.95145,47103283221.13484
tether,2025-05-24 21:03:51.552,1.0002058169952932,152733446000.64886,46008959384.69117
tether,2025-05-24 22:03:59.608,1.0002045916527549,152733491998.22476,24596683083.132797
tether,2025-05-24 23:02:41.109,1.000240971884248,152739453485.3326,45539155228.99245
tether,2025-05-25 00:03:56.214,1.0002092837775542,152733846792.3529,44583044448.09706
tether,2025-05-25 01:03:43.781,1.0003048930962015,152748797985.2392,27870648743.857067
tether,2025-05-25 02:03:47.636,1.0002812009212132,152745550443.5689,45061518199.099075
tether,2025-05-25 03:00:28.077,1.0002645350330208,152773510442.24994,45110992015.28119
tether,2025-05-25 04:03:46.499,1.000256196980473,152772084479.86542,37440461314.76446
tether,2025-05-25 05:03:40.552,1.00025066139215,152771299199.57687,41033333021.50769
tether,2025-05-25 06:03:40.132,1.000200861914153,152763669360.24506,43187179494.22613
tether,2025-05-25 07:03:42.016,1.0001845927242263,152761148150.23557,44081498058.16306
tether,2025-05-25 08:03:36.638,1.0001721670284274,152759260467.16632,43429589689.318085
tether,2025-05-25 09:03:50.931,1.0002330921982867,152768557001.4066,26037458436.113426
tether,2025-05-25 10:03:37.672,1.000187437521086,152763559045.71606,46120901304.73122
tether,2025-05-25 11:04:07.354,1.0001762987912144,152759035731.54654,45442701774.451
tether,2025-05-25 12:03:38.270,1.0001598839697898,152757253188.87012,42920219939.48375
tether,2025-05-25 13:04:07.791,1.0001593367149415,152757921388.93796,42487479993.08022
tether,2025-05-25 14:08:00.265,1.0002018743826244,152768111477.69583,43027623271.19887
tether,2025-05-25 15:04:00.859,1.000204578007987,152763318046.10953,38630358959.927986
tether,2025-05-25 16:04:42.476,1.000298542757507,152779010345.25214,44187551907.74105
tether,2025-05-25 17:03:34.616,1.000273266794781,152774692563.97806,46719193630.27063
tether,2025-05-25 18:03:58.921,1.0003137692020587,152781014930.92056,46723855414.26083
tether,2025-05-25 19:03:29.266,1.0002515024947478,152771852420.81564,42779768840.53991
tether,2025-05-25 20:08:39.014,1.0002617343306417,152773150871.00522,46718756886.26249
tether,2025-05-25 21:04:11.196,1.0002607669587302,152773634233.18433,47023136497.55543
tether,2025-05-25 22:05:18.581,1.0002767366742729,152775416761.6178,45749084567.74503
tether,2025-05-25 23:03:45.892,1.0003110994163615,152778858730.0935,49218765422.02131
tether,2025-05-26 00:04:04.342,1.000337108528961,152784769924.3765,48772193428.16554
tether,2025-05-26 01:03:35.988,1.0003643966249438,152785947714.35425,48301077351.86693
tether,2025-05-26 02:03:43.257,1.0003975320203384,152794819128.30124,38702252076.28363
tether,2025-05-26 03:03:19.520,1.0003905229692314,152792267659.26672,47990458866.826004
tether,2025-05-26 04:03:51.640,1.000346526350324,152785325534.84592,46146294118.23518
tether,2025-05-26 05:03:39.448,1.000332231224161,152783576413.1273,47051057782.567505
tether,2025-05-26 06:03:34.361,1.0003123884586136,152781034507.95074,49322509119.73314
