TIMESTAMP,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,VOLUME,DATE
1584316800,BTC-USD,470582.2512959808,502930.4049776463,393778.169853441,446632.5345155157,1867082.02558235,2020-03-16
1584403200,BTC-USD,446632.5345155157,507743.1377134489,434336.80822052574,480606.1593342512,1362121.62758227,2020-03-17
1584489600,BTC-USD,480606.1593342512,500713.844969285,440367.6951251119,478620.3419733354,1254578.53954413,2020-03-18
1584576000,BTC-USD,478620.3419733354,569541.4325965497,460502.1716230755,558346.012084149,1553168.3315497,2020-03-19
1584662400,BTC-USD,558346.012084149,620850.3569155766,508316.8420886769,543724.9905758272,1588510.01110567,2020-03-20
1584748800,BTC-USD,543724.9905758272,577818.9827329856,517286.5348245792,557253.6497917898,1262206.85422392,2020-03-21
1584835200,BTC-USD,557253.6497917898,575478.210335238,505726.9015083945,516094.3089822263,1120217.73386211,2020-03-22
1584921600,BTC-USD,516094.3089822263,587789.7102837131,503488.2194320368,569194.0437645979,1378395.46420625,2020-03-23
1585008000,BTC-USD,569194.0437645979,615628.013239743,561585.7343640565,591455.4130412879,1282069.55332012,2020-03-24
1585094400,BTC-USD,591455.4130412879,622644.0294966628,570108.4167276691,588590.5856499355,1127838.97449176,2020-03-25
1585180800,BTC-USD,588590.5856499355,611725.4182356691,575629.0646289478,594458.1291275009,939781.334609362,2020-03-26
1585267200,BTC-USD,594458.1291275009,615909.7211586417,555383.7553940655,577763.8357286997,917821.583726988,2020-03-27
1585353600,BTC-USD,577763.8357286997,577763.8357286997,530592.5476144681,546936.8215873323,988071.183228385,2020-03-28
1585440000,BTC-USD,546936.8215873323,566390.5476412901,515071.7637125284,516069.59700166143,678852.266225979,2020-03-29
1585526400,BTC-USD,516069.59700166143,591998.5742535733,515083.1412261472,577448.0713844214,1013228.61554447,2020-03-30
1585612800,BTC-USD,577448.0713844214,589824.0184873528,556511.3071518725,561419.3975449651,801627.250880772,2020-03-31
1585699200,BTC-USD,561419.3975449651,589121.9414557971,540338.3537582422,579981.1396597392,932172.626275503,2020-04-01
1585785600,BTC-USD,579981.1396597392,626086.2354471033,575079.6877988338,607224.7639115638,1270879.48118335,2020-04-02
